customer_no,full_name,phone,email,password_hash,account_iban,currency,balance,card_masked_pan,card_status,tx_type,amount,tx_status,created_at,target_iban,bill_id
CUST-1075,Andrii Tkachuk,+380671000075,andrii.tkachuk75@example.com,aaa88f12093ddca8064cdb97bf7635d7cd82c94d264121133f79f24e9b645bf1,UA000010000000000000000000151,UAH,43918.82,**** **** **** 1151,BLOCKED,TRANSFER,14993.61,FAILED,2024-01-01T10:10:00,UA000010000000000000000000069,
CUST-1073,Maksym Bondarenko,+380671000073,maksym.bondarenko73@example.com,25ac9b17f8113ceda4e3b18b639ac0c5821fa6cf61e31a4b2cafec4573b89522,UA000010000000000000000000148,EUR,43409.42,**** **** **** 1148,BLOCKED,TRANSFER,11458.48,PENDING,2024-01-01T10:17:00,UA000010000000000000000000121,
CUST-1066,Olena Tkachuk,+380671000066,olena.tkachuk66@example.com,06599c96e52ff54f21e65cec89df4b96ce519704136d6f7246a56be613eed8fb,UA000010000000000000000000133,USD,23197.99,**** **** **** 1133,ACTIVE,BILL_PAYMENT,13745.29,PENDING,2024-01-01T10:24:00,,BILL-50012
CUST-1074,Olena Tkachuk,+380671000074,olena.tkachuk74@example.com,efacf97ed63d8d618e5c1f03e2fbd3656ed4c97ba04abf6db791534b425641c2,UA000010000000000000000000150,UAH,85107.99,**** **** **** 1150,BLOCKED,BILL_PAYMENT,9540.03,COMPLETED,2024-01-01T10:31:00,,BILL-50013
CUST-1011,Iryna Bondarenko,+380671000011,iryna.bondarenko11@example.com,8057f787ebd8b4f9d40f53d7fbbfcbdde7067c1a074435b68f525b3de0e2ac2b,UA000010000000000000000000024,EUR,48202.06,**** **** **** 1024,ACTIVE,BILL_PAYMENT,5252.02,COMPLETED,2024-01-01T10:38:00,,BILL-50014
CUST-1041,Sofiia Tkachuk,+380671000041,sofiia.tkachuk41@example.com,a8a5146b1f97c2c8987ccb3a87d2f30b8aa258c2a32cb96115bf381d42df875c,UA000010000000000000000000083,EUR,30269.87,**** **** **** 1083,ACTIVE,TRANSFER,12873.11,COMPLETED,2024-01-01T10:45:00,UA000010000000000000000000106,
CUST-1088,Maksym Tkachenko,+380671000088,maksym.tkachenko88@example.com,1d45a36925bcb8f729f8f06ee0ec689f440cc6b08c3a0573ed12e10104e1e9a0,UA000010000000000000000000178,UAH,83430.21,**** **** **** 1178,BLOCKED,BILL_PAYMENT,4358.86,COMPLETED,2024-01-01T10:52:00,,BILL-50016
CUST-1097,Sofiia Bondarenko,+380671000097,sofiia.bondarenko97@example.com,7f5106053c87018f57187a0a485dedacb2ef37f08f05ab2313f23217a9ee928b,UA000010000000000000000000195,EUR,96050.77,**** **** **** 1195,ACTIVE,TRANSFER,6849.65,COMPLETED,2024-01-01T10:59:00,UA000010000000000000000000065,
CUST-1041,Sofiia Tkachuk,+380671000041,sofiia.tkachuk41@example.com,a8a5146b1f97c2c8987ccb3a87d2f30b8aa258c2a32cb96115bf381d42df875c,UA000010000000000000000000083,EUR,30269.87,**** **** **** 1083,ACTIVE,TRANSFER,14554.26,COMPLETED,2024-01-01T11:06:00,UA000010000000000000000000132,
CUST-1000,Olena Shevchenko,+380671000000,olena.shevchenko0@example.com,cb71cd3f59909532b783257f5f97d0502af258231f9d17cbe762799c0bb4a0f6,UA000010000000000000000000001,EUR,6828.5,**** **** **** 1001,ACTIVE,BILL_PAYMENT,6228.05,PENDING,2024-01-01T11:13:00,,BILL-50019
CUST-1066,Olena Tkachuk,+380671000066,olena.tkachuk66@example.com,06599c96e52ff54f21e65cec89df4b96ce519704136d6f7246a56be613eed8fb,UA000010000000000000000000133,USD,23197.99,**** **** **** 1133,ACTIVE,BILL_PAYMENT,9358.38,COMPLETED,2024-01-01T11:20:00,,BILL-50020
CUST-1080,Ivan Shevchenko,+380671000080,ivan.shevchenko80@example.com,a5276c24114971eceb4d5149894034741bcf22825b30c39942ff63007e031956,UA000010000000000000000000161,UAH,49267.44,**** **** **** 1161,BLOCKED,BILL_PAYMENT,11411.86,PENDING,2024-01-01T11:27:00,,BILL-50021
CUST-1034,Sofiia Tkachuk,+380671000034,sofiia.tkachuk34@example.com,94cd5db06baf087fd56c0042adc1deb162d271acfb8b3eb0277069517998d489,UA000010000000000000000000069,USD,35763.47,**** **** **** 1069,BLOCKED,TRANSFER,13918.71,COMPLETED,2024-01-01T11:34:00,UA000010000000000000000000179,
CUST-1062,Dmytro Bondarenko,+380671000062,dmytro.bondarenko62@example.com,9b857dc1d1dc03b131bdb429b972f5f28c7d72b8466a22d54c359c48d19551fe,UA000010000000000000000000125,USD,59597.38,**** **** **** 1125,ACTIVE,TRANSFER,481.6,FAILED,2024-01-01T11:41:00,UA000010000000000000000000156,
CUST-1030,Olena Melnyk,+380671000030,olena.melnyk30@example.com,85fcbe6bf830f23209ea6a932921e8da31a653a24a20cb84e75c4997e505690b,UA000010000000000000000000062,USD,80421.28,**** **** **** 1062,ACTIVE,TRANSFER,4695.71,PENDING,2024-01-01T11:48:00,UA000010000000000000000000142,
CUST-1052,Andrii Tkachuk,+380671000052,andrii.tkachuk52@example.com,f511f615cd867553edd2fc66f4dc34441851f699cc1457f767c5ec0bad8cd250,UA000010000000000000000000105,EUR,45145.45,**** **** **** 1105,ACTIVE,TRANSFER,3409.27,PENDING,2024-01-01T11:55:00,UA000010000000000000000000119,
CUST-1015,Andrii Koval,+380671000015,andrii.koval15@example.com,b5a4ec869015095060b1171791334513f741177c4011e2c5c36e3e37a5ff8e5f,UA000010000000000000000000031,USD,21221.66,**** **** **** 1031,BLOCKED,TRANSFER,7500.71,FAILED,2024-01-01T12:02:00,UA000010000000000000000000075,
CUST-1065,Ivan Tkachuk,+380671000065,ivan.tkachuk65@example.com,3c62426f46ebb414ff53540c6f1af32639c28b434126ae98b9f1651dd5e4fd4a,UA000010000000000000000000131,USD,83656.18,**** **** **** 1131,BLOCKED,BILL_PAYMENT,6261.58,COMPLETED,2024-01-01T12:09:00,,BILL-50027
CUST-1060,Dmytro Bondarenko,+380671000060,dmytro.bondarenko60@example.com,598ed9422e3d9c328f48cafc2c66a66a3d393b64290f7741d60e6e22c03ca031,UA000010000000000000000000121,USD,3873.46,**** **** **** 1121,BLOCKED,TRANSFER,6878.96,PENDING,2024-01-01T12:16:00,UA000010000000000000000000099,
CUST-1024,Andrii Tkachuk,+380671000024,andrii.tkachuk24@example.com,cafdc894eacc597ad76db1a750ccb876d4ed69c73b7d3d23f5e3a9e3b5c9fc2e,UA000010000000000000000000049,UAH,1351.02,**** **** **** 1049,ACTIVE,TRANSFER,12967.2,COMPLETED,2024-01-01T12:23:00,UA000010000000000000000000198,
CUST-1053,Dmytro Bondarenko,+380671000053,dmytro.bondarenko53@example.com,f75b853a4521962ca5d349e4ca4cb69dce2dbfef61731cb9d14f1f2f1b6499fe,UA000010000000000000000000107,USD,75425.9,**** **** **** 1107,BLOCKED,BILL_PAYMENT,14017.01,FAILED,2024-01-01T12:30:00,,BILL-50030
CUST-1034,Sofiia Tkachuk,+380671000034,sofiia.tkachuk34@example.com,94cd5db06baf087fd56c0042adc1deb162d271acfb8b3eb0277069517998d489,UA000010000000000000000000069,USD,35763.47,**** **** **** 1069,BLOCKED,TRANSFER,4278.44,COMPLETED,2024-01-01T12:37:00,UA000010000000000000000000151,
CUST-1074,Olena Tkachuk,+380671000074,olena.tkachuk74@example.com,efacf97ed63d8d618e5c1f03e2fbd3656ed4c97ba04abf6db791534b425641c2,UA000010000000000000000000149,UAH,51090.12,**** **** **** 1149,BLOCKED,BILL_PAYMENT,12985.65,COMPLETED,2024-01-01T12:44:00,,BILL-50032
CUST-1068,Kateryna Shevchenko,+380671000068,kateryna.shevchenko68@example.com,5a583fab00aa1c17acaad80b2b9b5a16a8563e7e66808bf4b4acbfb55d9b85d4,UA000010000000000000000000138,USD,70247.03,**** **** **** 1138,BLOCKED,BILL_PAYMENT,5209.6,FAILED,2024-01-01T12:51:00,,BILL-50033
CUST-1097,Sofiia Bondarenko,+380671000097,sofiia.bondarenko97@example.com,7f5106053c87018f57187a0a485dedacb2ef37f08f05ab2313f23217a9ee928b,UA000010000000000000000000196,UAH,62925.99,**** **** **** 1196,BLOCKED,BILL_PAYMENT,6857.4,COMPLETED,2024-01-01T12:58:00,,BILL-50034
CUST-1024,Andrii Tkachuk,+380671000024,andrii.tkachuk24@example.com,cafdc894eacc597ad76db1a750ccb876d4ed69c73b7d3d23f5e3a9e3b5c9fc2e,UA000010000000000000000000049,UAH,1351.02,**** **** **** 1049,ACTIVE,TRANSFER,8598.37,PENDING,2024-01-01T13:05:00,UA000010000000000000000000199,
CUST-1052,Andrii Tkachuk,+380671000052,andrii.tkachuk52@example.com,f511f615cd867553edd2fc66f4dc34441851f699cc1457f767c5ec0bad8cd250,UA000010000000000000000000106,EUR,86288.0,**** **** **** 1106,BLOCKED,TRANSFER,4806.74,COMPLETED,2024-01-01T13:12:00,UA000010000000000000000000181,
CUST-1048,Iryna Melnyk,+380671000048,iryna.melnyk48@example.com,ffe4daf45af0e803fbe1fba2de5c7f7644f30b71ddb082100779d7884e0291c2,UA000010000000000000000000098,USD,25154.46,**** **** **** 1098,ACTIVE,BILL_PAYMENT,14826.79,FAILED,2024-01-01T13:19:00,,BILL-50037
CUST-1019,Kateryna Tkachenko,+380671000019,kateryna.tkachenko19@example.com,871431053023291d24b403f1f9d761c6f01b3050a0a83cd9d9759a970f8d4d92,UA000010000000000000000000039,USD,83540.75,**** **** **** 1039,BLOCKED,BILL_PAYMENT,14474.13,PENDING,2024-01-01T13:26:00,,BILL-50038
CUST-1064,Andrii Bondarenko,+380671000064,andrii.bondarenko64@example.com,51031e17ce0a58242bf97f01a2883d077c6dd21f22674ee500dbfb60228851e7,UA000010000000000000000000129,USD,34412.55,**** **** **** 1129,BLOCKED,BILL_PAYMENT,13052.02,COMPLETED,2024-01-01T13:33:00,,BILL-50039
CUST-1012,Andrii Shevchenko,+380671000012,andrii.shevchenko12@example.com,fdac810d0c09f25c5ddcee9976ab1f1ae1973dba7c65152d95b0937bc2a6c883,UA000010000000000000000000026,UAH,7783.61,**** **** **** 1026,ACTIVE,BILL_PAYMENT,279.45,PENDING,2024-01-01T13:40:00,,BILL-50040
CUST-1052,Andrii Tkachuk,+380671000052,andrii.tkachuk52@example.com,f511f615cd867553edd2fc66f4dc34441851f699cc1457f767c5ec0bad8cd250,UA000010000000000000000000105,EUR,45145.45,**** **** **** 1105,ACTIVE,TRANSFER,1168.68,COMPLETED,2024-01-01T13:47:00,UA000010000000000000000000087,
CUST-1079,Kateryna Melnyk,+380671000079,kateryna.melnyk79@example.com,f46c534ea1cb330122334be00303592a10bcbbc238d1b11e1b498d4486d13755,UA000010000000000000000000160,USD,3841.3,**** **** **** 1160,BLOCKED,BILL_PAYMENT,9765.06,COMPLETED,2024-01-01T13:54:00,,BILL-50042
CUST-1086,Maksym Koval,+380671000086,maksym.koval86@example.com,3c0c8e2f0527574ed275f4fc831af606b283370490f9c39c7389fb5d16dd6ac8,UA000010000000000000000000173,USD,25888.96,**** **** **** 1173,ACTIVE,BILL_PAYMENT,14314.39,FAILED,2024-01-01T14:01:00,,BILL-50043
CUST-1091,Andrii Melnyk,+380671000091,andrii.melnyk91@example.com,7f6ceca338f7fe1bb409870c95cbf5009115df953af77a91ef912a11cf6423c7,UA000010000000000000000000184,UAH,87399.25,**** **** **** 1184,BLOCKED,BILL_PAYMENT,13092.13,PENDING,2024-01-01T14:08:00,,BILL-50044
CUST-1079,Kateryna Melnyk,+380671000079,kateryna.melnyk79@example.com,f46c534ea1cb330122334be00303592a10bcbbc238d1b11e1b498d4486d13755,UA000010000000000000000000159,USD,57415.11,**** **** **** 1159,BLOCKED,TRANSFER,3559.82,FAILED,2024-01-01T14:15:00,UA000010000000000000000000074,
CUST-1029,Olena Koval,+380671000029,olena.koval29@example.com,53f6f072e26d36b9e55d5dc828872856d5286f18ce3818d367f9e4473e464a66,UA000010000000000000000000059,EUR,75198.28,**** **** **** 1059,ACTIVE,TRANSFER,6537.87,PENDING,2024-01-01T14:22:00,UA000010000000000000000000195,
CUST-1081,Kateryna Tkachenko,+380671000081,kateryna.tkachenko81@example.com,7137bc5132a11c4937a830c4f594a551b18d0764f66f8478de3db48377f2b611,UA000010000000000000000000163,EUR,2004.96,**** **** **** 1163,ACTIVE,TRANSFER,6682.99,FAILED,2024-01-01T14:29:00,UA000010000000000000000000077,
CUST-1003,Olena Tkachuk,+380671000003,olena.tkachuk3@example.com,3acb59306ef6e660cf832d1d34c4fba3d88d616f0bb5c2a9e0f82d18ef6fc167,UA000010000000000000000000008,EUR,6362.95,**** **** **** 1008,ACTIVE,TRANSFER,4899.4,PENDING,2024-01-01T14:36:00,UA000010000000000000000000076,
CUST-1045,Andrii Shevchenko,+380671000045,andrii.shevchenko45@example.com,64bf83fcf172a284e3db6b4cc76bb175184ee9dd57e77f0421e3e401ea3858e0,UA000010000000000000000000092,UAH,82023.92,**** **** **** 1092,ACTIVE,BILL_PAYMENT,6488.77,PENDING,2024-01-01T14:43:00,,BILL-50049
CUST-1067,Andrii Tkachuk,+380671000067,andrii.tkachuk67@example.com,8a110e75a8142ab756babe02160548ed6c254ae3fd931b297aa4edba91065732,UA000010000000000000000000136,EUR,16085.85,**** **** **** 1136,ACTIVE,BILL_PAYMENT,8510.62,PENDING,2024-01-01T14:50:00,,BILL-50050
CUST-1021,Iryna Bondarenko,+380671000021,iryna.bondarenko21@example.com,2d6b3bb57cb9e22fa36516172ef096b30ae00d08eedc1499c599b6269975521d,UA000010000000000000000000044,EUR,55769.14,**** **** **** 1044,BLOCKED,TRANSFER,1230.58,COMPLETED,2024-01-01T14:57:00,UA000010000000000000000000159,
CUST-1087,Iryna Bondarenko,+380671000087,iryna.bondarenko87@example.com,4a2efe616f41f27f583d7e1e628a7b019f2b2603677ae0216d14559eefb83975,UA000010000000000000000000175,EUR,54050.53,**** **** **** 1175,ACTIVE,TRANSFER,7490.13,FAILED,2024-01-01T15:04:00,UA000010000000000000000000037,
CUST-1029,Olena Koval,+380671000029,olena.koval29@example.com,53f6f072e26d36b9e55d5dc828872856d5286f18ce3818d367f9e4473e464a66,UA000010000000000000000000060,UAH,97644.4,**** **** **** 1060,ACTIVE,BILL_PAYMENT,9586.67,COMPLETED,2024-01-01T15:11:00,,BILL-50053
CUST-1032,Kateryna Koval,+380671000032,kateryna.koval32@example.com,451a8149ebd58dbd064e3337c6de5d4f4bb08cd70bbbd48d62a205bd706b6bb0,UA000010000000000000000000066,USD,31213.9,**** **** **** 1066,ACTIVE,TRANSFER,13488.68,COMPLETED,2024-01-01T15:18:00,UA000010000000000000000000074,
CUST-1086,Maksym Koval,+380671000086,maksym.koval86@example.com,3c0c8e2f0527574ed275f4fc831af606b283370490f9c39c7389fb5d16dd6ac8,UA000010000000000000000000174,EUR,20065.85,**** **** **** 1174,ACTIVE,TRANSFER,1154.24,COMPLETED,2024-01-01T15:25:00,UA000010000000000000000000151,
CUST-1038,Sofiia Koval,+380671000038,sofiia.koval38@example.com,b64171fda74426604480b9bf7c10ccdc2ebc80266c8667c42346f54ce87d4dec,UA000010000000000000000000077,USD,5394.27,**** **** **** 1077,BLOCKED,BILL_PAYMENT,10370.19,COMPLETED,2024-01-01T15:32:00,,BILL-50056
CUST-1038,Sofiia Koval,+380671000038,sofiia.koval38@example.com,b64171fda74426604480b9bf7c10ccdc2ebc80266c8667c42346f54ce87d4dec,UA000010000000000000000000078,UAH,52472.11,**** **** **** 1078,ACTIVE,TRANSFER,14990.63,COMPLETED,2024-01-01T15:39:00,UA000010000000000000000000028,
CUST-1030,Olena Melnyk,+380671000030,olena.melnyk30@example.com,85fcbe6bf830f23209ea6a932921e8da31a653a24a20cb84e75c4997e505690b,UA000010000000000000000000061,USD,3453.85,**** **** **** 1061,BLOCKED,BILL_PAYMENT,8600.24,FAILED,2024-01-01T15:46:00,,BILL-50058
CUST-1037,Maksym Bondarenko,+380671000037,maksym.bondarenko37@example.com,1a31ac086ebf1341c916929e6d982767cd8568887d7c930ba8abd062afa08eac,UA000010000000000000000000076,USD,90050.97,**** **** **** 1076,ACTIVE,BILL_PAYMENT,378.0,FAILED,2024-01-01T15:53:00,,BILL-50059
CUST-1050,Andrii Koval,+380671000050,andrii.koval50@example.com,be46e03449534372e45f1abf511f78148625cf11d99f2f550e2f32b3a551dfb6,UA000010000000000000000000102,USD,14200.57,**** **** **** 1102,BLOCKED,BILL_PAYMENT,171.06,FAILED,2024-01-01T16:00:00,,BILL-50060
CUST-1099,Olena Tkachuk,+380671000099,olena.tkachuk99@example.com,ab2f50fe825bc3a9a8b649f173af23be3a052db9b410fcb0127e50ae9c356ba7,UA000010000000000000000000200,USD,4231.35,**** **** **** 1200,BLOCKED,TRANSFER,13663.72,FAILED,2024-01-01T16:07:00,UA000010000000000000000000128,
CUST-1036,Olena Bondarenko,+380671000036,olena.bondarenko36@example.com,133f8a05107e5442771c85da3dec70050ae5f3273849326b4a4e2ceaab2ef058,UA000010000000000000000000074,USD,73125.96,**** **** **** 1074,BLOCKED,TRANSFER,9125.62,COMPLETED,2024-01-01T16:14:00,UA000010000000000000000000057,
CUST-1081,Kateryna Tkachenko,+380671000081,kateryna.tkachenko81@example.com,7137bc5132a11c4937a830c4f594a551b18d0764f66f8478de3db48377f2b611,UA000010000000000000000000163,EUR,2004.96,**** **** **** 1163,ACTIVE,TRANSFER,9332.32,FAILED,2024-01-01T16:21:00,UA000010000000000000000000194,
CUST-1092,Kateryna Melnyk,+380671000092,kateryna.melnyk92@example.com,905026a6ddab21a9d1dca17cc4f47b843eccd1c4806f7f3c59b88cdac12e339f,UA000010000000000000000000185,USD,48392.71,**** **** **** 1185,BLOCKED,TRANSFER,9442.31,FAILED,2024-01-01T16:28:00,UA000010000000000000000000166,
CUST-1005,Dmytro Shevchenko,+380671000005,dmytro.shevchenko5@example.com,0eeac8171768d0cdef3a20fee6db4362d019c91e10662a6b55186336e1a42778,UA000010000000000000000000011,EUR,45412.74,**** **** **** 1011,BLOCKED,BILL_PAYMENT,11839.73,PENDING,2024-01-01T16:35:00,,BILL-50065
CUST-1074,Olena Tkachuk,+380671000074,olena.tkachuk74@example.com,efacf97ed63d8d618e5c1f03e2fbd3656ed4c97ba04abf6db791534b425641c2,UA000010000000000000000000149,UAH,51090.12,**** **** **** 1149,BLOCKED,BILL_PAYMENT,10998.78,PENDING,2024-01-01T16:42:00,,BILL-50066
CUST-1037,Maksym Bondarenko,+380671000037,maksym.bondarenko37@example.com,1a31ac086ebf1341c916929e6d982767cd8568887d7c930ba8abd062afa08eac,UA000010000000000000000000076,USD,90050.97,**** **** **** 1076,ACTIVE,BILL_PAYMENT,11224.84,PENDING,2024-01-01T16:49:00,,BILL-50067
CUST-1025,Kateryna Bondarenko,+380671000025,kateryna.bondarenko25@example.com,0028e1c0d2c60966390545414567d33bca9f0165fece6d0109c59a3f29b5fdd0,UA000010000000000000000000052,EUR,1957.3,**** **** **** 1052,ACTIVE,TRANSFER,11808.37,COMPLETED,2024-01-01T16:56:00,UA000010000000000000000000136,
CUST-1064,Andrii Bondarenko,+380671000064,andrii.bondarenko64@example.com,51031e17ce0a58242bf97f01a2883d077c6dd21f22674ee500dbfb60228851e7,UA000010000000000000000000129,USD,34412.55,**** **** **** 1129,BLOCKED,BILL_PAYMENT,12465.57,COMPLETED,2024-01-01T17:03:00,,BILL-50069
CUST-1061,Olena Melnyk,+380671000061,olena.melnyk61@example.com,da3df0f1c138cc7b9e79e218587a605e12b7a9b9ac24e1287da5ed056cf10c22,UA000010000000000000000000124,UAH,98091.48,**** **** **** 1124,ACTIVE,BILL_PAYMENT,11211.06,COMPLETED,2024-01-01T17:10:00,,BILL-50070
CUST-1014,Dmytro Tkachenko,+380671000014,dmytro.tkachenko14@example.com,b78f24953963ac5ed773d6ec83120e3b1a65510201dc09ed2ed9e9781ba88870,UA000010000000000000000000030,USD,66079.94,**** **** **** 1030,BLOCKED,BILL_PAYMENT,14445.25,PENDING,2024-01-01T17:17:00,,BILL-50071
CUST-1096,Ivan Bondarenko,+380671000096,ivan.bondarenko96@example.com,38ee64c8e2536e41e2543266f6a5216747b24c8b8ada7d5f7cfba8b1e80752fb,UA000010000000000000000000194,USD,57294.32,**** **** **** 1194,ACTIVE,TRANSFER,12909.1,FAILED,2024-01-01T17:24:00,UA000010000000000000000000173,
CUST-1050,Andrii Koval,+380671000050,andrii.koval50@example.com,be46e03449534372e45f1abf511f78148625cf11d99f2f550e2f32b3a551dfb6,UA000010000000000000000000102,USD,14200.57,**** **** **** 1102,BLOCKED,BILL_PAYMENT,1400.03,COMPLETED,2024-01-01T17:31:00,,BILL-50073
CUST-1001,Andrii Koval,+380671000001,andrii.koval1@example.com,e6c3da5b206634d7f3f3586d747ffdb36b5c675757b380c6a5fe5c570c714349,UA000010000000000000000000004,UAH,54384.16,**** **** **** 1004,BLOCKED,BILL_PAYMENT,8071.76,COMPLETED,2024-01-01T17:38:00,,BILL-50074
CUST-1047,Kateryna Koval,+380671000047,kateryna.koval47@example.com,dbb70b94b6b192a1085e8056872daa4eb24002d47c82e88b1323f1a5882567ba,UA000010000000000000000000095,USD,61516.12,**** **** **** 1095,ACTIVE,BILL_PAYMENT,8789.17,FAILED,2024-01-01T17:45:00,,BILL-50075
CUST-1047,Kateryna Koval,+380671000047,kateryna.koval47@example.com,dbb70b94b6b192a1085e8056872daa4eb24002d47c82e88b1323f1a5882567ba,UA000010000000000000000000096,USD,42029.66,**** **** **** 1096,ACTIVE,TRANSFER,10138.81,COMPLETED,2024-01-01T17:52:00,UA000010000000000000000000007,
CUST-1079,Kateryna Melnyk,+380671000079,kateryna.melnyk79@example.com,f46c534ea1cb330122334be00303592a10bcbbc238d1b11e1b498d4486d13755,UA000010000000000000000000159,USD,57415.11,**** **** **** 1159,BLOCKED,BILL_PAYMENT,13733.08,PENDING,2024-01-01T17:59:00,,BILL-50077
CUST-1082,Sofiia Shevchenko,+380671000082,sofiia.shevchenko82@example.com,ca619acdadd8eb0f598c954031b5f359a2fbd4fe0179eb02acfeab2ad373c999,UA000010000000000000000000166,EUR,48133.22,**** **** **** 1166,BLOCKED,TRANSFER,9549.29,COMPLETED,2024-01-01T18:06:00,UA000010000000000000000000180,
CUST-1038,Sofiia Koval,+380671000038,sofiia.koval38@example.com,b64171fda74426604480b9bf7c10ccdc2ebc80266c8667c42346f54ce87d4dec,UA000010000000000000000000078,UAH,52472.11,**** **** **** 1078,ACTIVE,BILL_PAYMENT,1794.31,PENDING,2024-01-01T18:13:00,,BILL-50079
CUST-1004,Olena Bondarenko,+380671000004,olena.bondarenko4@example.com,a417b5dc3d06d15d91c6687e27fc1705ebc56b3b2d813abe03066e5643fe4e74,UA000010000000000000000000010,UAH,25616.98,**** **** **** 1010,ACTIVE,BILL_PAYMENT,14939.11,PENDING,2024-01-01T18:20:00,,BILL-50080
CUST-1012,Andrii Shevchenko,+380671000012,andrii.shevchenko12@example.com,fdac810d0c09f25c5ddcee9976ab1f1ae1973dba7c65152d95b0937bc2a6c883,UA000010000000000000000000025,UAH,96117.11,**** **** **** 1025,ACTIVE,TRANSFER,13314.53,PENDING,2024-01-01T18:27:00,UA000010000000000000000000100,
CUST-1058,Maksym Tkachuk,+380671000058,maksym.tkachuk58@example.com,daa7c4bc3f1506b52b2bcc7864db9a96aee3ec1a8a68b29c5db60de1f8a6918b,UA000010000000000000000000117,EUR,38657.72,**** **** **** 1117,ACTIVE,BILL_PAYMENT,10073.77,FAILED,2024-01-01T18:34:00,,BILL-50082
CUST-1089,Dmytro Koval,+380671000089,dmytro.koval89@example.com,9d57ee06aac896609727855add2cfc3d9c50cd545395974cdee219c91e29fd25,UA000010000000000000000000179,UAH,36727.23,**** **** **** 1179,BLOCKED,BILL_PAYMENT,8830.74,FAILED,2024-01-01T18:41:00,,BILL-50083
CUST-1019,Kateryna Tkachenko,+380671000019,kateryna.tkachenko19@example.com,871431053023291d24b403f1f9d761c6f01b3050a0a83cd9d9759a970f8d4d92,UA000010000000000000000000040,EUR,98401.48,**** **** **** 1040,ACTIVE,BILL_PAYMENT,9841.08,COMPLETED,2024-01-01T18:48:00,,BILL-50084
